person,current_company,past_company1,past_company2,past_company3,education,linkedin_group1,linkedin_group2,linkedin_group3,hobby1,hobby2,hobby3
Ila Miga,Audi,,,,Heinrich-Heine-Universität Düsseldorf,Kubernetes,Retail,,Football,Motorcycles,Car Racing
Shelton Shankles,Tesla,Audi,Skoda,Mercedes,Hochschule der Bundesagentur für Arbeit,Future trends,,,Martial Arts,Aeromodeling,TV watching
Anya Filippelli,Seat,Porsche,TigerGraph,Skoda,Hochschule Neu-Ulm,Analytics,Industry trends,,Gardening,Dancing,Horse riding
Ira Pofahl,Skoda,,,,Universität der Bundeswehr München,TigerGraph,Future trends,,Brewing Beer,Geocaching,
Ebonie Dornbos,Opel,TigerGraph,Skoda,Mercedes,Hochschule Landshut,Analytics,Kubernetes,AI,Relaxing,Electronics,
Carrol Shvey,Toyota,Lexus,,,Philipps-Universität Marburg,AI,Security,,Mountain Biking,,
Lue Ruffolo,Porsche,Skoda,Microsoft,,Hochschule Landshut,Industry trends,,,Scuba Diving,Marathon,Traveling
Gemma Maleonado,Seat,Lexus,Skoda,Tesla,Brand Academy - Hochschule für Design und Kommunikation,Analytics,Graph Databases,Future trends,Fishing,Hunting,
Trula Zawislak,Tesla,Mercedes,Microsoft,,Universität Stuttgart,Analytics,Kubernetes,Future trends,Snowboarding,Astronomy,
Kitty Gyaki,Opel,Tesla,,,Universität der Bundeswehr München,Big Data,Airline,Future trends,Train Spotting,Reading,
Alphonso Plachecki,Toyota,Audi,Lexus,Volkswagen,Universität der Bundeswehr München,Airline,,,Meditation,,
Ashely Gimm,Tesla,Volkswagen,BMW,Mercedes,Technische Universität Berlin,Analytics,Kubernetes,Future trends,Photography,Electronics,TV watching
Karl Stiern,Toyota,Mercedes,Lexus,Microsoft,Universität Regensburg,NoSQL,GSQL,,Kite Boarding,Traveling,
Shalonda Bergin,Skoda,,,,Hochschule Rosenheim,Big Data,TigerGraph,GSQL,Darts,,
Crystle Pharel,Lexus,Tesla,,,Universität Passau,Graph Databases,Security,Retail,Parachuting,Sailing,Car Racing
Belen Gitter,Toyota,BMW,Mercedes,Tesla,Leibniz-Fachhochschule,Graph Databases,Kubernetes,,Darts,Gardening,Kayaking
Cari Therres,TigerGraph,Volkswagen,BMW,,Hochschule Landshut,Cloud,Industry trends,Future trends,Playing music,Tennis,Robotics
Jodi Jurich,Opel,Volkswagen,Tesla,,Universität der Bundeswehr München,Analytics,Graph Databases,GSQL,Chilling,Baseball,TV watching
Alleen Villa,Seat,,,,Hochschule Macromedia,Cloud,,,Couch potatoing,Basketball,Badminton
Temika Beneker,Toyota,Audi,Microsoft,Mercedes,Hochschule für angewandte Wissenschaften München,Cloud,Industry trends,,Tennis,Hunting,
Guillermo Fuhr,Seat,BMW,,,Technische Universität Braunschweig,Retail,,,Bowling,Marathon,
Barb Brasel,Skoda,Microsoft,,,Technische Universität München,Graph Databases,AI,,Photography,,
Marlen Pliego,Volkswagen,,,,Technische Universität Berlin,Airline,,,Football,,
Jackeline Kammler,Tesla,,,,Frankfurt University of Applied Sciences,Graph Databases,Future trends,GSQL,Mountain Biking,Basketball,Bicycling
Orlando Rinauro,Mercedes,,,,Hochschule Esslingen,Industry trends,Future trends,,Car Racing,Badminton,
Lilla Oleksy,Tesla,Audi,TigerGraph,Mercedes,Universität zu Lübeck,Cloud,TigerGraph,Automotive,Couch potatoing,Golf,
Cassondra Vangelos,Porsche,Skoda,,,Hochschule der Bundesagentur für Arbeit,Cloud,Graph Databases,Automotive,Hiking,Reading,Badminton
Kristin Doheny,Toyota,Lexus,Tesla,,Universität Stuttgart,Kubernetes,Industry trends,,Train Spotting,,
Kai Rosborough,Opel,Lexus,Porsche,BMW,Universität Augsburg,Big Data,Future trends,,Brewing Beer,Stamp Collecting,
Yukiko Lauder,Volkswagen,Tesla,,,Hochschule für angewandte Wissenschaften München,AI,Airline,GSQL,Basketball,Tennis,
Gwyn Zang,Volkswagen,TigerGraph,Mercedes,,Universität Leipzig,AI,TigerGraph,Graph Databases,Skateboarding,Horse riding,
Bradly Gatling,BMW,Mercedes,,,Universität zu Lübeck,Big Data,Security,,Sailing,,
Kasie Bloise,Audi,Porsche,Volkswagen,Opel,Universität Leipzig,NoSQL,Automotive,,Meditation,Chess,Hunting
Milagro Uhlir,Opel,Audi,,,Technische Hochschule Mittelhessen,TigerGraph,Automotive,Security,Skateboarding,Dancing,
Fritz Hoegerl,Toyota,Porsche,BMW,,Brand Academy - Hochschule für Design und Kommunikation,Analytics,Graph Databases,Security,Kite Boarding,Robotics,
Danika Duraku,Toyota,Lexus,,,Universität Hamburg,Cloud,Kubernetes,,Baseball,Bicycling,
Betsy Petek,Lexus,TigerGraph,BMW,Tesla,Friedrich-Alexander-Universität Erlangen-Nürnberg,Analytics,Airline,Retail,Meditation,Martial Arts,Traveling
Deana Loria,Volkswagen,Skoda,,,Johannes Gutenberg-Universität Mainz,AI,,,Chilling,Relaxing,Aeromodeling
Patrina Crain,Audi,Lexus,Porsche,Microsoft,Goethe-Universität Frankfurt am Main,NoSQL,Future trends,Automotive,Baseball,Fishing,Brewing Beer
Kendal Wilansky,BMW,,,,Beuth Hochschule für Technik Berlin,Cloud,Industry trends,TigerGraph,Fencing,Robotics,
Kim Handville,Porsche,,,,Technische Universität München,AI,Industry trends,,Couch potatoing,Skateboarding,Kayaking
Shanda Bellusci,Audi,Porsche,Mercedes,,Universität Freiburg,Analytics,Industry trends,Cloud,Photography,Mountain Biking,Dog walking
Kazuko Alwang,Skoda,,,,Universität zu Lübeck,NoSQL,Retail,Cloud,Reading,Cooking,
Danyel Raczynski,Seat,Skoda,Tesla,,Hochschule Esslingen,AI,TigerGraph,,Photography,Fencing,Car Racing
Pasquale Strzyzewski,Opel,BMW,,,Beuth Hochschule für Technik Berlin,NoSQL,Airline,,Train Spotting,Mountain Biking,Badminton
Merlyn Tada,Opel,Porsche,Audi,Microsoft,FernUniversität in Hagen,Graph Databases,,,Chilling,Baseball,Snowboarding
Harris Westra,Porsche,TigerGraph,,,Universität Erfurt,Analytics,TigerGraph,Automotive,Golf,,
Danna Linden,Mercedes,Microsoft,,,Technische Universität Berlin,Big Data,Retail,,Football,Skateboarding,Dog walking
Rosalba Willaert,Toyota,TigerGraph,Porsche,Skoda,Fachhochschule Aachen,Cloud,Security,,Chilling,Football,Electronics
Tory Ockman,Audi,Volkswagen,Opel,,Technische Universität Kaiserslautern,Big Data,Future trends,,Football,Geocaching,
Ardelle Wiacek,Audi,Porsche,,,Goethe-Universität Frankfurt am Main,Graph Databases,TigerGraph,Retail,Electronics,Dancing,Chess
Dusty Wendell,Tesla,Skoda,BMW,Microsoft,Technische Universität München,Cloud,Future trends,Retail,Couch potatoing,Kite Boarding,Basketball
Steven Barahona,Audi,,,,Beuth Hochschule für Technik Berlin,AI,TigerGraph,GSQL,Paragliding,Martial Arts,Dancing
Margery Poortinga,Toyota,Skoda,Volkswagen,BMW,Universität Leipzig,NoSQL,Automotive,GSQL,Relaxing,Calligraphy,TV watching
Jeffery Jondle,Opel,Porsche,Volkswagen,,Beuth Hochschule für Technik Berlin,NoSQL,Kubernetes,Analytics,Couch potatoing,Dancing,
Stephany Azim,Toyota,,,,Universität Hamburg,Big Data,Graph Databases,,Paragliding,Baseball,Snowboarding
Myrtie Paddison,BMW,Seat,Skoda,,Hochschule Esslingen,Analytics,Big Data,Automotive,Tennis,Robotics,
Lindsay Fresquez,Opel,Volkswagen,,,Heinrich-Heine-Universität Düsseldorf,Graph Databases,,,Dog walking,Painting,Dancing
Domonique Schauble,Audi,TigerGraph,Skoda,,Universität der Bundeswehr München,AI,TigerGraph,Security,Chilling,Hiking,
Palma Balson,Toyota,Porsche,BMW,,Beuth Hochschule für Technik Berlin,Airline,Security,Retail,Kayaking,,
China Kulcona,Tesla,,,,Brand Academy - Hochschule für Design und Kommunikation,Industry trends,Airline,,Basketball,,
Dudley Housewright,Audi,Lexus,Volkswagen,Microsoft,FernUniversität in Hagen,Cloud,AI,Automotive,Train Spotting,Bicycling,Playing music
Josue Hallczuk,Seat,,,,Universität zu Köln,NoSQL,Automotive,GSQL,Kite Boarding,,
Ladonna Cusmano,Tesla,,,,Technische Universität Braunschweig,Big Data,,,Chilling,Train Spotting,
Monte Markegard,Audi,TigerGraph,Microsoft,,Munich Business School,AI,Airline,Big Data,Chilling,Meditation,
Lavonda Aita,Lexus,BMW,Tesla,,Technische Universität Braunschweig,Analytics,Future trends,,Train Spotting,Skiing,
Hugo Blanch,Toyota,Audi,TigerGraph,Opel,Hochschule Rosenheim,GSQL,,,Brewing Beer,Mountain Biking,
Nelle Snoke,Opel,Volkswagen,Skoda,Microsoft,Zeppelin University,Industry trends,Kubernetes,Airline,Painting,Marathon,
Sadye Hoban,Tesla,,,,Technische Universität Darmstadt,GSQL,Retail,,Skiing,,
Oswaldo Evanson,Toyota,TigerGraph,,,Technische Universität München,Cloud,Kubernetes,Industry trends,Gardening,Parachuting,Scuba Diving
Cherish Hoiness,Audi,Porsche,,,Universität Augsburg,Analytics,,,Chess,Horse riding,
Easter Deville,Toyota,Lexus,,,Zeppelin University,Industry trends,TigerGraph,,Gardening,Dancing,
Reginald Ockman,Microsoft,,,,Zeppelin University,AI,Future trends,Big Data,Baseball,Electronics,Dog walking
Pasty Dellen,Lexus,TigerGraph,Skoda,,Friedrich-Alexander-Universität Erlangen-Nürnberg,NoSQL,,,Brewing Beer,,
Karl Wilbourn,Toyota,Volkswagen,,,Goethe-Universität Frankfurt am Main,TigerGraph,,,Darts,Meditation,Parachuting
Margo Gentsy,Toyota,Audi,TigerGraph,Microsoft,Universität Freiburg,GSQL,,,Reading,Traveling,
Delpha Arkontaky,Microsoft,,,,Universität zu Lübeck,NoSQL,,,Photography,,
Carl Koper,Seat,Lexus,Audi,,Hochschule der Bundesagentur für Arbeit,Cloud,Airline,,Parachuting,,
Hortense Mcgrail,Seat,Opel,Volkswagen,BMW,Universität München,Automotive,,,Train Spotting,Bicycling,
Cathern Gavette,Audi,Skoda,Tesla,,Universität Stuttgart,Analytics,TigerGraph,,Brewing Beer,Parachuting,
Shameka Fulbright,Toyota,Lexus,BMW,Microsoft,Technische Universität Berlin,Airline,,,Golf,Hunting,Marathon
Mallory Ramero,Lexus,Tesla,,,Universität Freiburg,Airline,,,Brewing Beer,Stamp Collecting,
Francis Ehrenzeller,Opel,Volkswagen,Skoda,Mercedes,Universität der Bundeswehr München,Analytics,Retail,GSQL,Train Spotting,Parachuting,Mountain Biking
Melany Chamblee,TigerGraph,Lexus,Volkswagen,Skoda,Technische Universität Darmstadt,Kubernetes,,,Motorcycles,Martial Arts,
Mark Searchwell,Opel,Porsche,Audi,,Universität Erfurt,GSQL,,,Rafting,,
Blanca Sens,BMW,,,,Hochschule Landshut,NoSQL,Future trends,,Basketball,,
Arletha Jesse,Lexus,Skoda,,,Technische Universität München,AI,,,Mountain Biking,Parachuting,
Marceline Thai,Porsche,,,,Zeppelin University,Analytics,Cloud,,Geocaching,Astronomy,
Connie Driesenga,Audi,Lexus,,,Universität München,NoSQL,Big Data,,Bicycling,Skateboarding,
Marylou Galster,Microsoft,,,,FernUniversität in Hagen,Graph Databases,Industry trends,Future trends,Darts,Aeromodeling,
Vada Kizzee,Audi,,,,Technische Universität Darmstadt,Security,Automotive,,Skiing,,
Lita Whitson,Opel,Volkswagen,,,Universität München,Graph Databases,Industry trends,Security,Painting,,
Alleen Kranich,Audi,BMW,Mercedes,,Johannes Gutenberg-Universität Mainz,Cloud,Industry trends,,Fishing,,
Marna Condit,Skoda,,,,Hochschule der Bundesagentur für Arbeit,Airline,GSQL,,Painting,,
Lupe Baillargeon,Lexus,Porsche,,,Hochschule Fresenius,Industry trends,Automotive,,Chilling,Fencing,Horse riding
Frank Defir,Lexus,,,,Universität Konstanz,Industry trends,Retail,,Car Racing,,
Dewey Sedanos,Volkswagen,Mercedes,,,Universität Stuttgart,Kubernetes,Automotive,,Football,,
Merrie Brower,Porsche,Volkswagen,TigerGraph,Microsoft,Fachhochschule Aachen,Security,,,Kite Boarding,Stamp Collecting,
Kendall Roarx,BMW,,,,Universität zu Köln,Future trends,,,Dog walking,Tennis,TV watching
Donovan Pargman,Mercedes,,,,Universität Leipzig,Industry trends,Retail,,Bowling,Sailing,
Luanne Bracht,Mercedes,Seat,Audi,,Technische Universität Darmstadt,GSQL,,,Kite Boarding,Cooking,Traveling
Keri Knigge,Mercedes,Audi,Microsoft,,Universität Passau,Industry trends,,,Photography,,
Cyril Falge,Toyota,Volkswagen,Porsche,Microsoft,Universität Stuttgart,Industry trends,Retail,,Snowboarding,Marathon,Horse riding
Jami Pridmore,Opel,Porsche,Skoda,,Hochschule Rosenheim,AI,Security,,Skateboarding,Parachuting,Scuba Diving
Danyell Bacayo,Audi,Volkswagen,BMW,,Universität der Bundeswehr München,Analytics,,,Basketball,,
Francoise Fawson,Toyota,Microsoft,Tesla,,Heinrich-Heine-Universität Düsseldorf,Analytics,Industry trends,,Bicycling,Kayaking,
Tracy Logiudice,Audi,,,,Universität Würzburg,Analytics,Big Data,,Brewing Beer,Marathon,
Pura Livers,Opel,BMW,Mercedes,,Technische Universität Kaiserslautern,Big Data,GSQL,,Astronomy,,
Marx Bassette,Lexus,Porsche,Skoda,,Hochschule Landshut,Analytics,AI,Airline,Brewing Beer,,
Joie Meiss,Toyota,Opel,TigerGraph,Seat,Universität Hamburg,Big Data,,,Paragliding,,
Marisela Hinchee,Seat,Audi,Microsoft,,Universität der Bundeswehr München,Cloud,Automotive,,Photography,Bowling,Gardening
Darnell Gudgel,Audi,,,,Goethe-Universität Frankfurt am Main,Kubernetes,,,Mountain Biking,,
Dion Novack,Toyota,Porsche,TigerGraph,Microsoft,Fachhochschule Dortmund,Industry trends,,,Snowboarding,Horse riding,
Jaimie Gulley,Skoda,,,,FernUniversität in Hagen,NoSQL,Kubernetes,,Tennis,,
Lindsey Husch,Microsoft,Mercedes,,,Universität Hamburg,Big Data,Graph Databases,Kubernetes,Hiking,Electronics,Fencing
Kacey Alvorez,Skoda,,,,Hochschule Landshut,AI,,,Tennis,,
Genna Hemans,Seat,Mercedes,,,Hochschule für angewandte Wissenschaften München,AI,,,Skiing,Tennis,Stamp Collecting
Diane Gano,Lexus,Volkswagen,BMW,,Universität Augsburg,AI,Security,Automotive,Fishing,Basketball,Stamp Collecting
Cherelle Catacutan,Toyota,Lexus,Tesla,,Technische Hochschule Mittelhessen,Airline,Security,GSQL,Kite Boarding,Bowling,Martial Arts
Kimberely Villagomez,BMW,,,,Universität Augsburg,AI,Airline,,Couch potatoing,Relaxing,Bowling
Saundra Jorda,Audi,TigerGraph,Tesla,,Technische Universität Kaiserslautern,Airline,Retail,GSQL,Photography,Painting,Scuba Diving
Edwardo Neimeyer,Opel,BMW,,,Beuth Hochschule für Technik Berlin,Graph Databases,,,Darts,Electronics,Badminton
Maurine Gregson,Audi,Porsche,Tesla,,FernUniversität in Hagen,NoSQL,Kubernetes,Cloud,Motorcycles,Tennis,Painting
Gilberte Puita,Toyota,Seat,Audi,,Universität Würzburg,TigerGraph,Automotive,GSQL,Football,Basketball,
Mandie Fannings,Opel,Skoda,,,Hochschule der Bundesagentur für Arbeit,TigerGraph,,,Dog walking,Cooking,
Cedrick Klebes,Lexus,Volkswagen,,,Hochschule Macromedia,Security,,,Running,,
Kyra Citrano,TigerGraph,,,,Universität zu Lübeck,Graph Databases,Industry trends,AI,Calligraphy,,
Pamala Nunlee,Lexus,Skoda,,,Fachhochschule Aachen,Analytics,Airline,Future trends,Electronics,,
Yesenia Hostettler,Porsche,Mercedes,,,FernUniversität in Hagen,AI,,,Chilling,,
Angelia Boho,BMW,Porsche,TigerGraph,Skoda,Hochschule Rosenheim,Cloud,Security,,Relaxing,Marathon,Playing music
Freeda Garvie,Toyota,Opel,Lexus,,Hochschule für angewandte Wissenschaften München,Cloud,,,Darts,Bowling,Geocaching
Aldo Aloisi,Mercedes,,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,AI,,,Chilling,,
Angel Nasr,TigerGraph,,,,Fachhochschule Dortmund,Big Data,Retail,,Mountain Biking,,
Buddy Stough,Lexus,Porsche,Tesla,,Universität zu Köln,Graph Databases,Airline,Security,Chilling,,
Eliseo Lisy,Toyota,Opel,TigerGraph,,Universität Augsburg,Cloud,,,Electronics,Martial Arts,Hunting
Aaron Hickock,Volkswagen,BMW,,,Universität Passau,Analytics,NoSQL,,Bicycling,,
Amira Dominion,Opel,BMW,Tesla,,Hochschule für angewandte Wissenschaften München,Analytics,Retail,,Tennis,,
Margarita Kliger,Opel,Mercedes,,,FernUniversität in Hagen,Graph Databases,TigerGraph,,Running,Snowboarding,
Mao Hyatte,Opel,Porsche,BMW,Tesla,Beuth Hochschule für Technik Berlin,Industry trends,,,Marathon,,
William Dumire,Opel,Porsche,Skoda,,Technische Universität Berlin,Cloud,TigerGraph,NoSQL,Darts,Snowboarding,
Catrice Krupinski,Microsoft,Porsche,BMW,Tesla,Universität München,Analytics,Security,GSQL,Paragliding,,
Lara Muldrew,Tesla,Toyota,Mercedes,Microsoft,FernUniversität in Hagen,NoSQL,Graph Databases,Automotive,Paragliding,Traveling,
Lacie Dody,Opel,TigerGraph,BMW,Audi,Universität Passau,Cloud,Analytics,,Sailing,Badminton,
Alphonse Bertoncini,Audi,Lexus,Porsche,Skoda,Philipps-Universität Marburg,Graph Databases,,,Chilling,Mountain Biking,
Leigha Erdelt,Mercedes,Volkswagen,Microsoft,Tesla,Technische Universität München,Kubernetes,GSQL,Big Data,Chilling,Golf,Badminton
Maya Kaczor,Lexus,Skoda,,,Universität Erfurt,Graph Databases,Automotive,,Aeromodeling,Hunting,
Page Blizzard,Seat,TigerGraph,Skoda,,Universität der Bundeswehr München,AI,Industry trends,Future trends,Baseball,Basketball,
Leeanna Cochren,Seat,Audi,,,Heinrich-Heine-Universität Düsseldorf,Big Data,Graph Databases,Retail,Meditation,,
Dominique Upmeyer,Tesla,Lexus,Microsoft,,Hochschule der Bundesagentur für Arbeit,Analytics,Kubernetes,NoSQL,Brewing Beer,,
Leora Obas,Toyota,Audi,Mercedes,,Johannes Gutenberg-Universität Mainz,Big Data,Airline,Security,Couch potatoing,Football,Scuba Diving
Hortensia Rucinski,Audi,Porsche,TigerGraph,,Universität Leipzig,Industry trends,TigerGraph,,Mountain Biking,,
Jacquelyne Cumblidge,BMW,,,,Technische Universität Berlin,Big Data,Industry trends,Graph Databases,Baseball,Playing music,
Almeta Sellar,Audi,,,,Technische Universität Braunschweig,Security,Retail,,Painting,,
Bettina Faulkenberry,Toyota,Skoda,,,Technische Universität Berlin,Analytics,,,Kite Boarding,Calligraphy,Dog walking
Frances Kinabrew,Porsche,,,,Heinrich-Heine-Universität Düsseldorf,TigerGraph,Retail,,Bowling,,
Kelley Madinger,Opel,,,,Universität Stuttgart,AI,Industry trends,Retail,Meditation,Fencing,Scuba Diving
Ezekiel Seikaly,Mercedes,Audi,Porsche,Tesla,Universität München,NoSQL,TigerGraph,,Football,Astronomy,Robotics
Deeann Wever,Toyota,Audi,TigerGraph,Opel,Universität Erfurt,Graph Databases,Future trends,Retail,Hiking,Martial Arts,
Earle Plouffe,BMW,Microsoft,,,Philipps-Universität Marburg,TigerGraph,GSQL,,Skiing,Bowling,Golf
Jc Casilla,Toyota,Skoda,Volkswagen,TigerGraph,Technische Universität Braunschweig,Airline,,,Skiing,,
Carlo Ellingsen,Seat,Skoda,,,Hochschule Landshut,NoSQL,Big Data,Retail,Painting,,
Veronique Revelle,Mercedes,Seat,Microsoft,,Hochschule Macromedia,AI,,,Car Racing,Golf,Robotics
Dorian Neeley,Lexus,Porsche,BMW,Tesla,Universität zu Lübeck,Analytics,Big Data,,Painting,Chess,
Lidia Grap,Opel,,,,Universität Ulm,Analytics,Automotive,,Hiking,Photography,Rafting
Bobbye Hardridge,Seat,TigerGraph,Opel,,Technische Universität Kaiserslautern,NoSQL,Kubernetes,GSQL,Dog walking,,
Londa Mccanna,Tesla,,,,Universität Stuttgart,Big Data,Airline,,Fishing,Scuba Diving,Playing music
Aletha Bissonnette,Seat,Volkswagen,Porsche,TigerGraph,Universität Passau,TigerGraph,Automotive,,Photography,Robotics,
Dennis Tinucci,Opel,,,,Technische Universität München,Analytics,Cloud,,Gardening,,
Eda Fyke,Porsche,,,,Universität Augsburg,Big Data,Retail,,Snowboarding,Stamp Collecting,Car Racing
Angelique Klatte,Seat,BMW,Skoda,Mercedes,Universität Konstanz,Cloud,Big Data,Industry trends,Golf,Fencing,TV watching
Tiara Nanka,Toyota,TigerGraph,Skoda,,Hochschule Neu-Ulm,Kubernetes,,,Aeromodeling,,
Margherita Jurgensen,Opel,TigerGraph,Microsoft,,Technische Hochschule Mittelhessen,Cloud,Future trends,Automotive,Baseball,TV watching,
Margart Bartolome,Audi,Lexus,,,Brand Academy - Hochschule für Design und Kommunikation,Industry trends,Retail,,Chess,Scuba Diving,
Trey Kinkaid,Porsche,TigerGraph,BMW,,Universität Würzburg,Airline,Security,Retail,Sailing,,
Lisabeth Fritter,Seat,TigerGraph,Tesla,,FernUniversität in Hagen,Future trends,,,Electronics,Painting,
Samella Coop,Toyota,Audi,Tesla,,Technische Universität Berlin,AI,Graph Databases,,Stamp Collecting,Calligraphy,
Laverna Simpkins,Porsche,TigerGraph,BMW,Microsoft,Brand Academy - Hochschule für Design und Kommunikation,TigerGraph,Future trends,,Running,,
Bao Pezzica,Volkswagen,TigerGraph,,,Universität Leipzig,Graph Databases,Airline,,Rafting,,
Shari Trocchio,Audi,TigerGraph,Mercedes,,Hochschule der Bundesagentur für Arbeit,Analytics,Retail,GSQL,Reading,Electronics,Tennis
Vincenza Parise,Lexus,Mercedes,,,Universität Hamburg,Analytics,TigerGraph,Security,Mountain Biking,Calligraphy,
Kenya Whitherspoon,Mercedes,,,,Universität Stuttgart,Graph Databases,,,Football,,
Anglea Muggley,Porsche,Microsoft,,,Universität Hamburg,Graph Databases,Industry trends,,Relaxing,,
Norene Eskeets,Toyota,Skoda,,,Frankfurt University of Applied Sciences,Cloud,,,Chess,,
Ashely Garibay,Volkswagen,Tesla,,,Hochschule Rosenheim,Cloud,Big Data,,Running,Robotics,
Blanca Pleskac,Audi,TigerGraph,BMW,,Hochschule Macromedia,AI,,,Meditation,,
Abbie Duerksen,Toyota,Lexus,TigerGraph,Tesla,Leibniz-Fachhochschule,Cloud,Kubernetes,,Motorcycles,,
Lindsay Keisel,Toyota,Audi,Opel,Tesla,Universität Passau,Cloud,Kubernetes,,Gardening,,
Marcellus Delasko,Toyota,Volkswagen,Porsche,Skoda,Universität München,Security,,,Kite Boarding,Geocaching,Parachuting
Lester Cart,Opel,Porsche,Microsoft,,Technische Universität Kaiserslautern,TigerGraph,,,Mountain Biking,Painting,Parachuting
Zenaida Waldrop,Toyota,Microsoft,,,Universität Würzburg,TigerGraph,,,Aeromodeling,Chess,Astronomy
Israel Frie,Seat,Lexus,Volkswagen,,Technische Universität München,TigerGraph,,,Meditation,Playing music,Calligraphy
Sachiko Tutuska,Audi,BMW,Skoda,Mercedes,Hochschule Esslingen,Security,GSQL,,Running,Painting,Traveling
Scott Kulp,Porsche,BMW,,,Technische Universität Berlin,Analytics,Kubernetes,Big Data,Parachuting,Chess,Traveling
Donovan Sternod,Toyota,Audi,Lexus,Skoda,Johannes Gutenberg-Universität Mainz,NoSQL,AI,,Tennis,Hunting,
Ashlee Vorel,Toyota,TigerGraph,,,Universität Leipzig,Big Data,TigerGraph,,Train Spotting,Golf,
Shirely Lamay,Mercedes,,,,Universität Ulm,TigerGraph,,,Running,Skiing,Cooking
Harry Tooke,Volkswagen,,,,Universität Konstanz,NoSQL,,,Martial Arts,,
Cayla Haroldsen,Mercedes,Tesla,,,Technische Hochschule Mittelhessen,Retail,,,Mountain Biking,Running,
Sandra Tayor,Volkswagen,Porsche,,,Universität Hamburg,Graph Databases,Security,GSQL,Paragliding,Skiing,Hunting
Hayley Ovens,Porsche,,,,Universität zu Lübeck,Graph Databases,Security,GSQL,Hiking,Playing music,Rafting
Carmine Nerpio,Opel,Volkswagen,BMW,,Universität Konstanz,Airline,Future trends,,Dog walking,Basketball,
Sterling Kreitzer,Toyota,Skoda,Microsoft,,Universität Konstanz,Airline,,,Painting,,
Karon Freimark,Toyota,Porsche,Tesla,,Technische Hochschule Mittelhessen,Security,,,Badminton,,
Sommer Leonesio,Toyota,Volkswagen,,,Hochschule Neu-Ulm,Retail,,,Skateboarding,,
Petrina Bogguess,Volkswagen,,,,Fachhochschule Dortmund,Cloud,Security,,Electronics,Parachuting,
Paul Mcgrady,Toyota,Seat,Mercedes,,Hochschule der Bundesagentur für Arbeit,Analytics,Graph Databases,NoSQL,Kayaking,,
Estela Yanes,Tesla,Volkswagen,TigerGraph,Mercedes,Fachhochschule Aachen,Future trends,,,Relaxing,Skiing,Dancing
Ronna Gampong,BMW,Lexus,Volkswagen,TigerGraph,Heinrich-Heine-Universität Düsseldorf,Cloud,,,Chilling,,
Tari Schwanke,BMW,Microsoft,,,Fachhochschule Dortmund,Big Data,TigerGraph,AI,Geocaching,Astronomy,
Alex Craft,Skoda,Microsoft,,,Technische Universität Kaiserslautern,Analytics,,,Couch potatoing,Relaxing,Astronomy
Mathilde Engl,Tesla,,,,Hochschule Fresenius,Analytics,Airline,Retail,Chilling,Horse riding,
Crissy Wizwer,BMW,Lexus,Skoda,Tesla,FernUniversität in Hagen,NoSQL,Graph Databases,,Cooking,Sailing,
Jule Caetano,Skoda,BMW,Mercedes,,Universität Freiburg,Future trends,,,Tennis,Parachuting,
Jacqulyn Benzing,TigerGraph,Skoda,,,Hochschule Landshut,GSQL,,,Mountain Biking,TV watching,
Toya Jone,Opel,Tesla,,,Fachhochschule Aachen,Analytics,Automotive,GSQL,Reading,Martial Arts,
Jenette Muszynski,TigerGraph,BMW,,,Universität Leipzig,Security,Future trends,Automotive,Hiking,Scuba Diving,
Tamika Beemer,Tesla,Audi,Mercedes,,Hochschule Fresenius,GSQL,,,Meditation,Fencing,Scuba Diving
Maegan Rounds,Microsoft,Mercedes,,,Universität Freiburg,Analytics,Automotive,,Mountain Biking,Electronics,Fencing
Orval Cabos,Opel,Lexus,Skoda,Microsoft,Leibniz-Fachhochschule,AI,Future trends,Kubernetes,Bicycling,,
Michaele Moreles,Mercedes,Lexus,Microsoft,,Hochschule Macromedia,Cloud,Industry trends,TigerGraph,Hiking,Playing music,Badminton
Percy Water,BMW,Microsoft,,,Philipps-Universität Marburg,Kubernetes,Industry trends,Security,Photography,Reading,
Clarissa Polemeni,Toyota,Microsoft,,,Technische Universität Berlin,Kubernetes,Security,Big Data,Martial Arts,,
Raphael Mends,Mercedes,Lexus,Microsoft,,Hochschule Landshut,Graph Databases,TigerGraph,,Paragliding,Brewing Beer,
Ronny Godbolt,Toyota,Volkswagen,TigerGraph,Microsoft,Beuth Hochschule für Technik Berlin,AI,Security,,Marathon,Traveling,
Emmanuel Wigelsworth,Seat,Mercedes,,,Universität Passau,Retail,,,Dancing,Playing music,
Lynette Pradhan,TigerGraph,Microsoft,Tesla,,Universität Regensburg,Cloud,Analytics,,Hiking,,
Jae Lindauer,Tesla,Opel,Microsoft,,Universität Leipzig,Airline,Automotive,Security,Gardening,Skateboarding,TV watching
Mona Radtke,Toyota,Volkswagen,Lexus,TigerGraph,Brand Academy - Hochschule für Design und Kommunikation,Cloud,Automotive,,Brewing Beer,Golf,Hunting
Stanley Reino,Lexus,Porsche,Tesla,,Heinrich-Heine-Universität Düsseldorf,Cloud,Airline,,Darts,Football,Paragliding
Gwyn Walkling,TigerGraph,,,,Hochschule Rosenheim,NoSQL,Airline,Industry trends,Darts,Horse riding,
